Hour,Base Load (kW),Price (̦re),Battery (%),Charging
0,0.88,85.28,20.0,False
1,0.77,70.86,20.0,True
2,2.2,68.01,31.987041036717066,True
3,1.98,67.95,39.97840172786178,True
4,2.75,68.01,47.969762419006486,True
5,3.85,85.04,55.96112311015119,False
6,4.51,87.86,55.96112311015119,False
7,3.74,100.26,55.96112311015119,False
8,3.85,118.45,55.96112311015119,False
9,4.4,116.61,55.96112311015119,False
10,4.73,105.93,55.96112311015119,False
11,6.16,91.95,55.96112311015119,False
12,4.62,90.51,55.96112311015119,False
13,3.74,90.34,55.96112311015119,False
14,3.52,90.8,55.96112311015119,False
15,3.63,88.85,55.96112311015119,False
16,5.83,90.39,55.96112311015119,False
17,11.0,99.03,55.96112311015119,False
18,8.91,87.11,55.96112311015119,False
19,6.05,82.9,55.96112311015119,False
20,4.29,80.45,55.96112311015119,True
21,2.64,76.48,67.94816414686827,True
22,1.87,32.0,75.93952483801296,True
23,0.99,34.29,83.93088552915768,False
